displacement:0,displacement:1,Points:0,Points:1,Points:2
0.051118,0.0480978,-2,1.6,0
0.0472081,0.0473868,-2,1.5,0
0.0434232,0.046616,-2,1.4,0
0.0397386,0.0458291,-2,1.3,0
0.0361179,0.0449755,-2,1.2,0
0.0325428,0.044055,-2,1.1,0
0.0290419,0.0430353,-2,1,0
0.0255193,0.0418771,-2,0.9,0
0.0220688,0.0405766,-2,0.8,0
0.0186243,0.0390669,-2,0.7,0
0.0152087,0.0373136,-2,0.6,0
0.0117443,0.0352134,-2,0.5,0
0.00837765,0.0327057,-2,0.4,0
0.00506647,0.0294163,-2,0.3,0
0.00170292,0.0243739,-2,0.2,0
-0.00063177,0.0157406,-2,0.1,0
-1.41696e-15,0.00844704,-0.395,0,0
-1.4174e-15,0.00835058,-0.39,0,0
-1.41771e-15,0.0082541,-0.385,0,0
-1.41749e-15,0.0081576,-0.38,0,0
-1.4174e-15,0.00806108,-0.375,0,0
-1.41749e-15,0.00796455,-0.37,0,0
-1.41727e-15,0.007868,-0.365,0,0
-1.41743e-15,0.00777143,-0.36,0,0
-1.41773e-15,0.00767484,-0.355,0,0
-1.41787e-15,0.00757824,-0.35,0,0
-1.41799e-15,0.00748162,-0.345,0,0
-1.41815e-15,0.00738498,-0.34,0,0
-1.41831e-15,0.00728832,-0.335,0,0
-1.41873e-15,0.00719164,-0.33,0,0
-1.4192e-15,0.00709495,-0.325,0,0
-1.41963e-15,0.00699823,-0.32,0,0
-1.4203e-15,0.00690149,-0.315,0,0
-1.4208e-15,0.00680474,-0.31,0,0
-1.4211e-15,0.00670796,-0.305,0,0
-1.4209e-15,0.00661116,-0.3,0,0
-1.42091e-15,0.00651433,-0.295,0,0
-1.42122e-15,0.00641748,-0.29,0,0
-1.42116e-15,0.00632061,-0.285,0,0
-1.4211e-15,0.00622371,-0.28,0,0
-1.421e-15,0.00612679,-0.275,0,0
-1.42109e-15,0.00602984,-0.27,0,0
-1.42114e-15,0.00593285,-0.265,0,0
-1.42142e-15,0.00583584,-0.26,0,0
-1.42162e-15,0.00573879,-0.255,0,0
-1.42164e-15,0.00564171,-0.25,0,0
-1.42185e-15,0.00554459,-0.245,0,0
-1.42214e-15,0.00544743,-0.24,0,0
-1.42232e-15,0.00535023,-0.235,0,0
-1.42239e-15,0.00525299,-0.23,0,0
-1.42227e-15,0.0051557,-0.225,0,0
-1.42218e-15,0.00505835,-0.22,0,0
-1.42215e-15,0.00496095,-0.215,0,0
-1.42209e-15,0.00486349,-0.21,0,0
-1.42158e-15,0.00476597,-0.205,0,0
-1.42119e-15,0.00466837,-0.2,0,0
-1.42072e-15,0.00457069,-0.195,0,0
-1.42026e-15,0.00447292,-0.19,0,0
-1.41998e-15,0.00437506,-0.185,0,0
-1.41979e-15,0.00427709,-0.18,0,0
-1.41939e-15,0.004179,-0.175,0,0
-1.4191e-15,0.00408078,-0.17,0,0
-1.41884e-15,0.0039824,-0.165,0,0
-1.41858e-15,0.00388384,-0.16,0,0
-1.41803e-15,0.00378509,-0.155,0,0
-1.41775e-15,0.00368609,-0.15,0,0
-1.41734e-15,0.00358681,-0.145,0,0
-1.41689e-15,0.00348719,-0.14,0,0
-1.41655e-15,0.00338715,-0.135,0,0
-1.41628e-15,0.0032866,-0.13,0,0
-1.41603e-15,0.00318536,-0.125,0,0
-1.41596e-15,0.00308322,-0.12,0,0
-1.41586e-15,0.00297973,-0.115,0,0
-1.41641e-15,0.00287432,-0.11,0,0
-1.41938e-15,0.00276375,-0.105,0,0
0.000142952,0.00253282,-0.095,0,0
0.000228357,0.00243951,-0.09,0,0
0.000287552,0.00235119,-0.085,0,0
0.000333826,0.00226305,-0.08,0,0
0.000372005,0.00217502,-0.075,0,0
0.000404457,0.002087,-0.07,0,0
0.000432485,0.00199897,-0.065,0,0
0.000456911,0.00191095,-0.06,0,0
0.000478288,0.00182294,-0.055,0,0
0.000497008,0.00173492,-0.05,0,0
0.000513362,0.00164691,-0.045,0,0
0.000527568,0.00155889,-0.04,0,0
0.000539796,0.00147088,-0.035,0,0
0.000550175,0.00138287,-0.03,0,0
0.000558809,0.00129486,-0.025,0,0
0.000565777,0.00120685,-0.02,0,0
0.000571138,0.00111884,-0.015,0,0
0.000574938,0.00103084,-0.01,0,0
0.000577206,0.000942829,-0.005,0,0
0.000577962,0.000854822,-2.65746e-13,0,0
0.00057721,0.000766816,0.005,0,0
0.000574945,0.000678809,0.01,0,0
0.000571148,0.000590802,0.015,0,0
0.00056579,0.000502795,0.02,0,0
0.000558826,0.000414787,0.025,0,0
0.000550195,0.000326778,0.03,0,0
0.000539819,0.000238769,0.035,0,0
0.000527594,0.000150759,0.04,0,0
0.00051339,6.27483e-05,0.045,0,0
0.000497039,-2.52639e-05,0.05,0,0
0.00047832,-0.000113277,0.055,0,0
0.000456945,-0.000201292,0.06,0,0
0.00043252,-0.000289309,0.065,0,0
0.000404491,-0.000377327,0.07,0,0
0.000372039,-0.00046535,0.075,0,0
0.000333859,-0.000553375,0.08,0,0
0.000287582,-0.000641512,0.085,0,0
0.000228382,-0.000729824,0.09,0,0
0.000142968,-0.000823129,0.095,0,0
-1.36758e-15,-0.00105406,0.105,0,0
-1.3709e-15,-0.00116462,0.11,0,0
-1.37163e-15,-0.00127004,0.115,0,0
-1.37176e-15,-0.00137353,0.12,0,0
-1.37159e-15,-0.00147566,0.125,0,0
-1.37134e-15,-0.00157689,0.13,0,0
-1.37072e-15,-0.00167745,0.135,0,0
