Points_0,Points_1,Points_2,displacement_0,displacement_1
-0.0121,0,0,0.0063681,0.178976
-0.01188,0,0,0.006253,0.179028
-0.01166,0,0,0.0061379,0.179079
-0.01144,0,0,0.00602279,0.17913
-0.01122,0,0,0.00590769,0.179181
-0.011,0,0,0.00579259,0.179233
-0.01078,0,0,0.00567748,0.179284
-0.01056,0,0,0.00556238,0.179335
-0.01034,0,0,0.00544727,0.179386
-0.01012,0,0,0.00533217,0.179437
-0.0099,0,0,0.00521707,0.179479
-0.00968,0,0,0.00510196,0.17951
-0.00946,0,0,0.00498686,0.17954
-0.00924,0,0,0.00487176,0.179571
-0.00902,0,0,0.00475665,0.179602
-0.0088,0,0,0.00464155,0.179632
-0.00858,0,0,0.00452644,0.179663
-0.00836,0,0,0.00441134,0.179693
-0.00814,0,0,0.00429624,0.179724
-0.00792,0,0,0.00418113,0.179754
-0.0077,0,0,0.00406603,0.179785
-0.00748,0,0,0.00395093,0.179816
-0.00726,0,0,0.00383582,0.179846
-0.00704,0,0,0.00372072,0.179877
-0.00682,0,0,0.00360561,0.179907
-0.0066,0,0,0.00349051,0.179938
-0.00638,0,0,0.00337541,0.179969
-0.00616,0,0,0.0032603,0.179999
-0.00594,0,0,0.0031452,0.18003
-0.00572,0,0,0.00303009,0.18006
-0.0055,0,0,0.00291499,0.180091
-0.00528,0,0,0.00279989,0.180121
-0.00506,0,0,0.00268478,0.180152
-0.00484,0,0,0.00256968,0.180168
-0.00462,0,0,0.00245458,0.180178
-0.0044,0,0,0.00233947,0.180188
-0.00418,0,0,0.00222437,0.180198
-0.00396,0,0,0.00210926,0.180208
-0.00374,0,0,0.00199416,0.180219
-0.00352,0,0,0.00187906,0.180229
-0.0033,0,0,0.00176395,0.180239
-0.00308,0,0,0.00164885,0.180249
-0.00286,0,0,0.00153374,0.180259
-0.00264,0,0,0.00141864,0.180269
-0.00242,0,0,0.00130354,0.18028
-0.0022,0,0,0.00118843,0.18029
-0.00198,0,0,0.00107333,0.1803
-0.00176,0,0,0.000958226,0.18031
-0.00154,0,0,0.000843122,0.18032
-0.00132,0,0,0.000728018,0.18033
-0.0011,0,0,0.000612914,0.180341
-0.00088,0,0,0.00049781,0.180351
-0.00066,0,0,0.000382707,0.180361
-0.00044,0,0,0.000267603,0.180371
-0.00022,0,0,0.000152499,0.180381
0,0,0,3.73951e-05,0.180391
0.00022,0,0,-7.77087e-05,0.180381
0.00044,0,0,-0.000192813,0.180371
0.00066,0,0,-0.000307916,0.180361
0.00088,0,0,-0.00042302,0.180351
0.0011,0,0,-0.000538124,0.180341
0.00132,0,0,-0.000653228,0.18033
0.00154,0,0,-0.000768332,0.18032
0.00176,0,0,-0.000883436,0.18031
0.00198,0,0,-0.000998539,0.1803
0.0022,0,0,-0.00111364,0.18029
0.00242,0,0,-0.00122875,0.18028
0.00264,0,0,-0.00134385,0.180269
0.00286,0,0,-0.00145895,0.180259
0.00308,0,0,-0.00157406,0.180249
0.0033,0,0,-0.00168916,0.180239
0.00352,0,0,-0.00180427,0.180229
0.00374,0,0,-0.00191937,0.180219
